mass_A
t;x;y;v;a
0,000000000E0;1,832339013E-1;2,736121223E-1;;
1,000000000E-2;1,882018934E-1;2,701608890E-1;6,338111774E-1;
2,000000000E-2;1,935828163E-1;2,662918353E-1;6,977018174E-1;6,372036495E0
3,000000000E-2;1,996640893E-1;2,622026733E-1;7,624377999E-1;5,294813159E0
4,000000000E-2;2,062199480E-1;2,577579345E-1;8,051277440E-1;3,855054734E0
5,000000000E-2;2,129207697E-1;2,530619567E-1;8,364248014E-1;2,642522657E0
6,000000000E-2;2,200499197E-1;2,483465339E-1;8,599660908E-1;4,255502043E0
7,000000000E-2;2,272272983E-1;2,435152343E-1;9,094329731E-1;3,987751609E0
8,000000000E-2;2,353462643E-1;2,385053362E-1;9,517306396E-1;4,213791697E0
9,000000000E-2;2,432196154E-1;2,331923337E-1;9,820948546E-1;3,272095645E0
1,000000000E-1;2,517863086E-1;2,277568913E-1;1,025087863E0;4,149955189E0
1,100000000E-1;2,605684268E-1;2,222680124E-1;1,057080426E0;2,400977892E0
1,200000000E-1;2,697281259E-1;2,165739220E-1;1,072241517E0;3,767803003E0
1,300000000E-1;2,789459982E-1;2,112160616E-1;1,112905049E0;5,058456493E0
1,400000000E-1;2,890141979E-1;2,054621946E-1;1,174247407E0;4,292959511E0
1,500000000E-1;2,995174000E-1;1,998864447E-1;1,190953892E0;2,713956944E0
1,600000000E-1;3,100004518E-1;1,941960677E-1;1,202140888E0;3,500492793E0
1,700000000E-1;3,209220503E-1;1,889366488E-1;1,238092061E0;3,999371344E0
1,800000000E-1;3,323600637E-1;1,835566816E-1;1,284308964E0;4,543187942E0
1,900000000E-1;3,437283059E-1;1,771190978E-1;1,325403363E0;4,697012329E0
2,000000000E-1;3,558924833E-1;1,713541057E-1;1,359379322E0;5,440672488E0
2,100000000E-1;3,685367968E-1;1,659968843E-1;1,352837367E0;2,576574063E0
2,200000000E-1;3,808314630E-1;1,608605426E-1;1,375603396E0;2,581719678E0
2,300000000E-1;3,939454287E-1;1,554462773E-1;1,409161401E0;3,886579319E0
2,400000000E-1;4,070415546E-1;1,505007434E-1;1,418263452E0;3,705366406E0
2,500000000E-1;4,205821940E-1;1,456958300E-1;1,445554506E0;3,203068998E0
2,600000000E-1;4,343912012E-1;1,411280190E-1;1,457303865E0;2,770290633E0
2,700000000E-1;4,482957699E-1;1,366707799E-1;1,485581511E0;3,167815085E0
2,800000000E-1;4,627059096E-1;1,321247828E-1;1,516115302E0;3,217740445E0
2,900000000E-1;4,773259929E-1;1,279135886E-1;1,520447757E0;3,464589352E0
