mass_A
t;x;y;v;a
5,640000000E0;1,659930272E-2;2,906454305E-1;;
5,650000000E0;1,981966569E-2;2,884259972E-1;4,109744059E-1;
5,660000000E0;2,333661588E-2;2,859370766E-1;4,490544553E-1;4,789341444E0
5,670000000E0;2,723548096E-2;2,833598699E-1;5,037281374E-1;5,202673170E0
5,680000000E0;3,170926050E-2;2,803338957E-1;5,582931643E-1;4,254303682E0
5,690000000E0;3,645259128E-2;2,770573799E-1;5,853520810E-1;3,591329107E0
5,700000000E0;4,121544073E-2;2,735010807E-1;6,214232842E-1;4,547704170E0
5,710000000E0;4,636715966E-2;2,695628424E-1;6,784073662E-1;4,177046014E0
5,720000000E0;5,220762128E-2;2,655470510E-1;7,089381108E-1;3,366533721E0
5,730000000E0;5,790640321E-2;2,613237188E-1;7,341727272E-1;3,283521013E0
5,740000000E0;6,426049541E-2;2,571606297E-1;7,788381932E-1;4,527326864E0
5,750000000E0;7,067674550E-2;2,524044178E-1;8,231015890E-1;5,399430173E0
5,760000000E0;7,768451510E-2;2,476320314E-1;8,856785041E-1;4,369058397E0
5,770000000E0;8,533783272E-2;2,424634377E-1;9,132260613E-1;3,257370353E0
5,780000000E0;9,292102671E-2;2,375602168E-1;9,363113158E-1;4,271196087E0
5,790000000E0;1,010234879E-1;2,322344703E-1;1,004625355E0;5,052752852E0
5,800000000E0;1,096556374E-1;2,264398909E-1;1,041501866E0;3,283892002E0
5,810000000E0;1,185693636E-1;2,210080416E-1;1,059403490E0;8,913226751E-1
5,820000000E0;1,276552673E-1;2,152618935E-1;1,064472526E0;2,580290806E0
5,830000000E0;1,364976156E-1;2,095268185E-1;1,097035701E0;5,526617764E0
5,840000000E0;1,464107731E-1;2,038765550E-1;1,170734604E0;5,417270147E0
5,850000000E0;1,568946779E-1;1,980286599E-1;1,194015635E0;2,456341668E0
5,860000000E0;1,673476967E-1;1,923911485E-1;1,198662577E0;5,061553913E0
5,870000000E0;1,781066183E-1;1,868585938E-1;1,269412560E0;4,971784430E0
5,880000000E0;1,901784797E-1;1,812862556E-1;1,315259567E0;3,900938186E0
5,890000000E0;2,015235831E-1;1,748749027E-1;1,328478150E0;3,051937201E0
